Data; Exportação de bens - Minas Gerais - US$(mil)
jan/89;385.905
fev/89;299.308
mar/89;403.425
abr/89;395.572
mai/89;386.266
jun/89;502.714
jul/89;449.400
ago/89;473.897
set/89;392.612
out/89;378.739
nov/89;286.504
dez/89;357.317
jan/90;340.989
fev/90;297.085
mar/90;339.039
abr/90;386.716
mai/90;443.952
jun/90;465.430
jul/90;449.027
ago/90;415.723
set/90;390.561
out/90;359.658
nov/90;398.902
dez/90;312.997
jan/91;416.637
fev/91;398.026
mar/91;397.274
abr/91;472.148
mai/91;522.626
jun/91;404.634
jul/91;359.379
ago/91;372.087
set/91;284.572
out/91;476.409
nov/91;371.210
dez/91;368.070
jan/92;352.115
fev/92;448.969
mar/92;485.096
abr/92;394.049
mai/92;415.108
jun/92;410.933
jul/92;450.135
ago/92;383.320
set/92;336.704
out/92;769.706
nov/92;379.610
dez/92;339.604
jan/93;345.743
fev/93;372.969
mar/93;512.613
abr/93;353.459
mai/93;357.614
jun/93;340.396
jul/93;487.452
ago/93;402.254
set/93;513.856
out/93;420.305
nov/93;473.112
dez/93;424.472
jan/94;400.363
fev/94;399.764
mar/94;410.010
abr/94;430.704
mai/94;421.714
jun/94;476.930
jul/94;505.142
ago/94;524.903
set/94;590.655
out/94;493.164
nov/94;516.253
dez/94;523.775
jan/95;403.795
fev/95;401.746
mar/95;542.252
abr/95;402.815
mai/95;532.707
jun/95;520.674
jul/95;455.660
ago/95;507.215
set/95;501.936
out/95;615.205
nov/95;473.704
dez/95;502.952
jan/96;488.959
fev/96;443.549
mar/96;390.346
abr/96;526.825
mai/96;447.238
jun/96;496.895
jul/96;509.958
ago/96;473.271
set/96;513.492
out/96;526.226
nov/96;533.536
dez/96;440.088
jan/97;532.800
fev/97;466.768
mar/97;510.779
abr/97;595.214
mai/97;564.445
jun/97;646.703
jul/97;627.414
ago/97;660.717
set/97;639.768
out/97;686.927
nov/97;641.074
dez/97;655.309
jan/98;792.131
fev/98;639.375
mar/98;725.338
abr/98;586.583
mai/98;586.366
jun/98;714.035
jul/98;725.062
ago/98;562.565
set/98;630.421
out/98;629.890
nov/98;489.614
dez/98;509.288
jan/99;444.572
fev/99;446.569
mar/99;535.186
abr/99;530.450
mai/99;568.213
jun/99;583.220
jul/99;526.791
ago/99;567.931
set/99;564.663
out/99;497.924
nov/99;522.719
dez/99;593.765
jan/00;530.233
fev/00;514.747
mar/00;554.351
abr/00;531.028
mai/00;622.617
jun/00;629.853
jul/00;549.963
ago/00;620.424
set/00;544.746
out/00;588.660
nov/00;536.858
dez/00;481.198
jan/01;558.615
fev/01;436.934
mar/01;587.520
abr/01;510.194
mai/01;556.958
jun/01;434.787
jul/01;529.982
ago/01;531.445
set/01;487.736
out/01;515.738
nov/01;488.193
dez/01;413.569
jan/02;452.345
fev/02;399.784
mar/02;486.249
abr/02;482.052
mai/02;387.940
jun/02;239.472
jul/02;704.414
ago/02;705.010
set/02;635.848
out/02;700.296
nov/02;578.801
dez/02;566.108
jan/03;527.482
fev/03;553.612
mar/03;554.061
abr/03;525.067
mai/03;673.406
jun/03;571.154
jul/03;561.252
ago/03;650.018
set/03;744.779
out/03;749.595
nov/03;688.465
dez/03;631.783
jan/04;673.759
fev/04;606.060
mar/04;834.412
abr/04;660.669
mai/04;782.226
jun/04;912.407
jul/04;860.734
ago/04;880.186
set/04;1.014.981
out/04;901.904
nov/04;906.187
dez/04;953.011
jan/05;830.297
fev/05;964.922
mar/05;1.171.116
abr/05;1.054.578
mai/05;1.137.054
jun/05;1.206.439
jul/05;1.129.241
ago/05;1.209.673
set/05;1.087.221
out/05;1.124.634
nov/05;1.266.314
dez/05;1.309.050
jan/06;1.084.251
fev/06;1.028.822
mar/06;1.282.565
abr/06;1.000.251
mai/06;1.126.371
jun/06;1.425.938
jul/06;1.490.976
ago/06;1.579.279
set/06;1.449.760
out/06;1.375.676
nov/06;1.414.451
dez/06;1.375.814
jan/07;1.468.395
fev/07;1.307.493
mar/07;1.482.296
abr/07;1.310.753
mai/07;1.487.811
jun/07;1.431.877
jul/07;1.710.682
ago/07;1.724.362
set/07;1.464.074
out/07;1.791.841
nov/07;1.627.530
dez/07;1.520.110
jan/08;1.646.383
fev/08;1.484.684
mar/08;1.428.716
abr/08;1.654.286
mai/08;2.007.693
jun/08;2.319.417
jul/08;2.650.331
ago/08;2.570.426
set/08;2.820.811
out/08;2.578.463
nov/08;1.786.352
dez/08;1.435.077
jan/09;1.419.792
fev/09;1.333.544
mar/09;1.562.844
abr/09;1.724.511
mai/09;1.320.496
jun/09;1.626.620
jul/09;1.578.632
ago/09;1.645.853
set/09;1.866.513
out/09;1.873.479
nov/09;1.743.666
dez/09;1.779.741
jan/10;1.471.557
fev/10;1.629.621
mar/10;2.074.271
abr/10;2.102.733
mai/10;2.505.670
jun/10;2.521.628
jul/10;2.817.339
ago/10;3.321.406
set/10;3.267.481
out/10;3.206.676
nov/10;2.899.962
dez/10;3.347.149
jan/11;2.728.379
fev/11;2.683.745
mar/11;3.091.408
abr/11;3.129.514
mai/11;3.524.067
jun/11;3.498.876
jul/11;3.569.128
ago/11;4.110.722
set/11;3.893.129
out/11;3.885.232
nov/11;3.822.071
dez/11;3.401.748
jan/12;2.308.861
fev/12;2.631.586
mar/12;2.798.371
abr/12;2.594.887
mai/12;3.007.594
jun/12;2.734.014
jul/12;2.979.326
ago/12;3.082.759
set/12;2.662.853
out/12;2.894.439
nov/12;2.782.336
dez/12;2.623.018
jan/13;2.610.443
fev/13;2.235.317
mar/13;2.551.041
abr/13;2.877.034
mai/13;3.094.091
jun/13;2.642.312
jul/13;2.895.850
ago/13;2.824.473
set/13;2.799.618
out/13;3.395.300
nov/13;2.814.686
dez/13;2.640.809
jan/14;2.600.120
fev/14;2.294.313
mar/14;2.385.689
abr/14;2.400.152
mai/14;2.666.729
jun/14;2.647.054
jul/14;2.633.402
ago/14;2.352.915
set/14;2.608.926
out/14;2.391.256
nov/14;2.051.316
dez/14;2.265.632
jan/15;1.912.894
fev/15;1.666.552
mar/15;2.160.351
abr/15;1.600.332
mai/15;1.771.225
jun/15;1.893.084
jul/15;2.038.518
ago/15;1.727.836
set/15;1.912.792
out/15;1.954.699
nov/15;1.616.695
dez/15;1.728.527
jan/16;1.289.012
fev/16;1.468.988
mar/16;1.703.522
abr/16;1.724.986
mai/16;2.039.213
jun/16;1.818.250
jul/16;1.771.974
ago/16;2.118.887
set/16;2.027.268
out/16;1.862.796
nov/16;1.852.257
dez/16;2.240.195
jan/17;2.120.272
fev/17;1.934.100
mar/17;2.644.281
abr/17;1.936.551
mai/17;2.451.507
jun/17;2.067.702
jul/17;1.737.978
ago/17;2.027.560
set/17;2.173.940
out/17;2.279.385
nov/17;2.011.423
dez/17;1.960.915
jan/18;1.968.216
fev/18;1.665.521
mar/18;2.096.729
abr/18;2.001.271
mai/18;1.897.373
jun/18;2.023.655
jul/18;1.985.040
ago/18;2.043.355
set/18;1.943.410
out/18;2.251.362
nov/18;2.204.077
dez/18;2.193.826
jan/19;2.119.529
fev/19;1.907.143
mar/19;1.983.336
abr/19;1.970.707
mai/19;2.298.307
jun/19;2.174.597
jul/19;2.143.349
ago/19;2.441.814
set/19;2.115.009
out/19;2.229.807
nov/19;1.999.084
dez/19;1.755.907
jan/20;1.799.714
fev/20;1.577.885
mar/20;1.942.930
abr/20;2.029.632
mai/20;2.243.387
jun/20;2.166.162
jul/20;2.185.233
ago/20;2.289.338
set/20;2.555.868
out/20;2.396.208
nov/20;2.400.659
dez/20;2.732.130
jan/21;2.309.977
fev/21;2.309.799
mar/21;3.278.355
abr/21;3.274.522
mai/21;3.621.976
jun/21;4.061.991
jul/21;3.973.127
ago/21;3.921.536
set/21;3.155.443
out/21;2.767.579
nov/21;2.667.611
dez/21;2.998.273
jan/22;2.417.237
fev/22;2.584.667
mar/22;3.893.281
abr/22;3.345.342
mai/22;3.819.701
jun/22;4.295.560
jul/22;3.535.489
ago/22;3.491.610
set/22;3.565.638
out/22;3.151.643
nov/22;3.257.712
dez/22;2.836.201
jan/23;2.800.908
fev/23;2.479.136
mar/23;3.788.632
abr/23;3.231.799
mai/23;4.083.670
jun/23;3.518.786
jul/23;3.231.139
ago/23;3.467.533
set/23;3.316.931
out/23;3.419.597
nov/23;3.337.024
dez/23;3.558.043
jan/24;3.243.544
fev/24;3.246.695
mar/24;3.498.417
abr/24;3.499.368
mai/24;3.921.940
jun/24;3.486.339
jul/24;3.644.871

